# category_review.txt
# Channels that could not be auto-categorized.
# Edit the last column, then save as channel_overrides.txt
# Valid categories: music | tv | tech | unsure | news | food | comedy | other
# May be abbreviated M, V, T, unsure, N, F, C, O
norm_name|raw_name|channel_url|total_plays|title_count|category
[unknown]|[unknown]||10045|247|unsure
Ren|Ren|https://www.youtube.com/channel/UCqq3VcwPGseErHUa0-xLInQ|2654|158|music
The Big Push|The Big Push|https://www.youtube.com/channel/UCLuR_dea3ed8KbIoyvHUB0w|1400|52|music
Fatboy Slim|Fatboy Slim|https://www.youtube.com/channel/UCCbP5cOWp9s75x_r6xq7LcQ|1051|95|music
ResinChem Tech|ResinChem Tech|https://www.youtube.com/channel/UC3VW-yo-88jkrWYbyHBxYUg|717|88|tech
PROF|PROF|https://www.youtube.com/channel/UC7M1cNEc2Qwf8cCP_GnQb2Q|398|107|music
RenMakesStuff|RenMakesStuff|https://www.youtube.com/channel/UC8_bu13DAsoqHiqQMhZcYgw|318|70|music
Brighton Beach Busking BBB|Brighton Beach Busking BBB|https://www.youtube.com/channel/UCtEAyXFhKx5v5RAY1Mc00Cw|314|87|music
Josh Wolf|Josh Wolf|https://www.youtube.com/channel/UCw2gbI721e3ZYWfdQ1MRvoQ|222|91|comedy
Intermit.Tech|Intermit.Tech|https://www.youtube.com/channel/UCv7UOhZ2XuPwm9SN5oJsCjA|197|48|tech
Sugarshack Sessions|Sugarshack Sessions|https://www.youtube.com/channel/UCSHfOL-Ke32Qi7Sn9_BGTqg|196|46|music
Make It Work|Make It Work|https://www.youtube.com/channel/UCGoreZKPBtCXCf54F3DF4ug|181|30|tech
Chris Maher|Chris Maher|https://www.youtube.com/channel/UCVWNj8aMx8uzzoZdsVMEwKg|171|52|tech
Pete Eley|Pete Eley|https://www.youtube.com/channel/UCuUGeStWzK7QWrEucRwGYOg|137|46|music
Smart Home Junkie|Smart Home Junkie|https://www.youtube.com/channel/UCVtQ4AOSmCFUuvixddYiSxw|133|39|tech
DJ Brace|DJ Brace|https://www.youtube.com/channel/UCsoHLjdGqNZ3_R80WvpX5KQ|127|31|music
The Prodigy|The Prodigy|https://www.youtube.com/channel/UC7IZbkKDd20v6Ni_vFX63rQ|118|14|music
bbno$|bbno$|https://www.youtube.com/channel/UCC8FSfSnbjiZ6vGr68ZLtzg|101|34|M
Hacktuber|Hacktuber|https://www.youtube.com/channel/UCVW5_U7e5ruoIQ6FzUE7wRA|94|35|T
Home Automation Guy|Home Automation Guy|https://www.youtube.com/channel/UC67SMH0qLMJ4b4Guud0mKjw|88|21|T
Elevator Music|Elevator Music|https://www.youtube.com/channel/UCSN7R7sDkoXfrx8gRdITr0Q|86|19|M
AI News & Strategy Daily | Nate B Jones|AI News & Strategy Daily | Nate B Jones|https://www.youtube.com/channel/UC0C-17n9iuUQPylguM1d-lQ|84|45|M
Dj Lady Style|Dj Lady Style|https://www.youtube.com/channel/UC8rG6WvR1SZLkSTjIJe3f-g|81|15|M
nanofix|nanofix|https://www.youtube.com/channel/UC2YkJ2iPMuUVGyxbt1DcxQQ|79|21|T
SouthernFriedRecords|SouthernFriedRecords|https://www.youtube.com/channel/UCVCWDCqE4FBSy5dPt-DCVcQ|78|9|M
Hexenkind1|Hexenkind1|https://www.youtube.com/channel/UCMy-IrnoVxKry-ziOxm3yzw|70|48|M
Puddles Pity Party|Puddles Pity Party|https://www.youtube.com/channel/UCbs7cZ6EdgXgZYL5LDoor2A|65|14|M
DroneBot Workshop|DroneBot Workshop|https://www.youtube.com/channel/UCzml9bXoEM0itbcE96CB03w|62|24|T
