LEGEND,M = Music,T = Tech / Smart Home / DIY,F = Food & Cooking,C = Comedy,N = News,V = TV / Video,O = Other
,Leave cat blank to keep as unsure. Fill top ones first — sorted by play count.,,,,,,

cat,channel name,plays,videos,channel url
,[unknown],10045,247,
,Michael Leen,20,6,https://www.youtube.com/channel/UCPW1UJ2F7Ch7XHfzhYqyX-A
,DJ ANGELO,20,2,https://www.youtube.com/channel/UCPx27y_cQb1bGzMmX4z1eng
,Elvenar Official,20,13,https://www.youtube.com/channel/UCUOilIEi4sJqM8Z1W53RXZw
,jaybass20,20,6,https://www.youtube.com/channel/UC5UTPWIFJIniuJ_G6DGV2TQ
,Zack Freedman,19,9,https://www.youtube.com/channel/UCUW49KGPezggFi0PGyDvcvg
,Abby the Spoon Lady,19,3,https://www.youtube.com/channel/UCPETY6-6NCMqoWneLosBZ2A
,Fix This Build That,18,3,https://www.youtube.com/channel/UCHYSw4XKO_q1GaChw5pxa-w
,sencesor,18,1,https://www.youtube.com/channel/UCwJZYjCqe3nvj7WPQw2ZPGw
,mcxandermusic,18,5,https://www.youtube.com/channel/UCDk0PrwPyb9pLlN0MiloOtA
,Scott Marley,16,6,https://www.youtube.com/channel/UCOoMeR4LgbGExLUCNVf184g
,JATVMedia,15,4,https://www.youtube.com/channel/UCiLOPcFtMO1jAiFdoKv5mZA
,Brighter with Herbert,13,7,https://www.youtube.com/channel/UC4DBLlq1x0AKmip1QJUcbXg
,matt one,13,1,https://www.youtube.com/channel/UCSMtURhqQz7yjmW78v3WJMQ
,David Bombal,12,5,https://www.youtube.com/channel/UCP7WmQ_U4GB3K51Od9QvM0w
,Salim Benbouziyane,12,4,https://www.youtube.com/channel/UC2eBMUTYqZSLrRJ1EBwJv-A
,Morley Kert,12,5,https://www.youtube.com/channel/UCbtEd1MuY6gd2RpdWqkzXFw
,Gl0bal,12,7,https://www.youtube.com/channel/UCPWZlSab4hsCFVG2txRV8KA
,Stephen Bain,9,1,https://www.youtube.com/channel/UCuqAo2dMNMYVQszFxMtuY1Q
,Leon Anavi,8,3,https://www.youtube.com/channel/UC4OQ5CQw8kuucCM8mG8woOQ
,Inspirasi Usaha,8,4,https://www.youtube.com/channel/UCb-N5dt0d2in3XSEZh979tg
,CaptiveAire,8,2,https://www.youtube.com/channel/UCt0ArHe_-CKAr1So3IEwmsA
,America Before,8,4,https://www.youtube.com/channel/UCt2XmzclI1d3arVbxwwHLgA
,Impatient Maker,8,3,https://www.youtube.com/channel/UCmnJcPSYEi4lItJA9cPOyUQ
,RT-Thread,8,3,https://www.youtube.com/channel/UCdDHtIfSYPq4002r27ffqPw
,Monster Review,8,1,https://www.youtube.com/channel/UCT8Ws01i0rk_dSSpHFscIfQ
,Home Tech,8,1,https://www.youtube.com/channel/UCZURNaPoPMTgXkj73lMrYhQ
,PornoStar Records,8,1,https://www.youtube.com/channel/UC23xTgbg_9Q2QBGSPdum1KQ
,rustiesloan,8,6,https://www.youtube.com/channel/UC94hTsOfUfEZyZAop6hmg2Q
,800 Pound Gorilla Media,8,5,https://www.youtube.com/channel/UCJ9hfZ2sU7jFT9isA2rN58Q
,onthejazztip,8,1,https://www.youtube.com/channel/UCrVZdadchTIx6R4v_fY6CSQ
,savagemyth,8,1,https://www.youtube.com/channel/UCLM4h9ctnV967aUts0LEkQA
